tempo,temp,pressao,altitude,luz,gas1,gas2,gas3,Air,humidade,temp,poeira
Segunda-27/9/2020  12:07:14,35.60,93195.42,700,19,17,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:15,35.59,93196.12,700,19,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:17,35.60,93198.03,700,19,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:19,35.62,93197.67,700,19,17,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:21,35.59,93196.26,700,19,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:22,35.60,93193.86,700,19,17,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:24,35.60,93192.85,700,19,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:26,35.64,93196.55,700,19,16,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:27,35.65,93196.47,700,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:29,35.68,93201.84,699,19,17,0,0,58,32.00,Temp: ,-1
